URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/ops,1.5.4,active,,OpsVS,OPS ValueSet,"OPS ValueSet","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-genetic-basis,2027.0.0-ballot.rc1,retired,,MII_VS_Seltene_GeneticBasis,MII VS SE Genetic Basis (retired),"RETIRED. Nicht verwenden. Acht der neun enthaltenen SNOMED-Codes bezeichnen etwas anderes als ihr Display behauptet oder existieren nicht; das ValueSet muss neu erstellt werden.",,"SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-age-of-onset,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPOAgeOfOnset,MII VS SE HPO Age of Onset,"Value set containing HPO terms for age of onset of diseases",,"hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-change-status,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPO_ChangeStatus,MII VS Seltene Erkrankungen HPO Change Status,"ValueSet für Änderungsstatus von HPO-Phänotypen gemäß Modellvorhaben Genomsequenzierung",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-inheritance-pattern,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPOInheritancePattern,MII VS SE HPO Inheritance Pattern,"Value set containing HPO terms for modes of inheritance",,"hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-phenotypic-observation-codes,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPOPhenotypicObservationCodes,HPO Phenotypic Observation Codes,"Human Phenotype Ontology codes for phenotypic observations","StructureDefinition/mii-pr-seltene-clinical-diagnosis,StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-hpo-assessment,StructureDefinition/mii-pr-seltene-clinical-impression","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-presence-status,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPOPresenceStatus,HPO Phenotype Presence Status,"LOINC codes for indicating presence or absence of phenotypic features. Follows HL7 Phenomics IG pattern.","StructureDefinition/mii-pr-seltene-hpo-assessment","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-severity,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_HPOSeverity,HPO Severity,"HPO codes for describing severity of phenotypic abnormalities. Follows HL7 Phenomics IG component pattern.","StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-hpo-assessment","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-icf,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_ICF,MII VS SE ICF Categories,"All categories of the WHO International Classification of Functioning, Disability and Health. Defined intensionally over the whole classification rather than enumerated: which categories are relevant depends entirely on the disease, and any curated subset would be wrong for the next rare disease. German display text comes from the BfArM language supplement, so the value set does not need a German twin.","StructureDefinition/mii-pr-seltene-icf-assessment","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-icf-beurteilungsmerkmal,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_ICFBeurteilungsmerkmal,MII VS SE ICF Qualifier Kind,"All qualifier kinds usable as a component code in the ICF assessment profile.",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-narse-therapietyp,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NARSE_Therapietyp,MII VS Seltene Erkrankungen NARSE Therapietyp,"ValueSet für NARSE-spezifische Therapietypen bei Seltenen Erkrankungen","StructureDefinition/mii-pr-seltene-therapie-durchgefuehrt","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-acylcarnitine-dbs,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_Acylcarnitine_DBS,MII VS Seltene Erkrankungen NBS Acylcarnitine (Trockenblut),"Acylcarnitin- und Carnitin-Analyte in Trockenblut (dried blood spot) — die Messgrößen des MS/MS-Acylcarnitinprofils im Neugeborenenscreening (Fettsäureoxidationsstörungen, Organoazidopathien, Carnitinzyklusdefekte). Abgeleitet aus der LOINC-SNOMED-Ontologie und deshalb NICHT vollständig gegenüber LOINC: enthalten ist der nach SNOMED gemappte Teil. Für die lückenlose Menge siehe mii-vs-seltene-nbs-dbs-all.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-aminoacid-dbs,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_AminoAcid_DBS,MII VS Seltene Erkrankungen NBS Aminosäuren (Trockenblut),"Aminosäure-Analyte in Trockenblut — die Messgrößen des MS/MS-Aminosäureprofils im Neugeborenenscreening (Phenylketonurie, Ahornsirupkrankheit, Homocystinurie, Tyrosinämie, Harnstoffzyklusdefekte). Abgeleitet aus der LOINC-SNOMED-Ontologie und deshalb NICHT vollständig gegenüber LOINC; für die lückenlose Menge siehe mii-vs-seltene-nbs-dbs-all.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-dbs-all,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_DBS_All,MII VS Seltene Erkrankungen NBS alle Trockenblut-Analyte (LOINC),"Alle LOINC-Codes, deren Untersuchungsmaterial Trockenblut (dried blood spot) ist — intensional über die LOINC-Eigenschaft SYSTEM definiert und damit vollständig. Enthält Analyte, Quotienten, Panels und Interpretationscodes nebeneinander sowie Analytik ausserhalb des Neugeborenenscreenings; für klinisch abgegrenzte Teilmengen dienen die gruppierten ValueSets mii-vs-seltene-nbs-*-dbs.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-enzyme-activity-dbs,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_EnzymeActivity_DBS,MII VS Seltene Erkrankungen NBS Enzymaktivitäten (Trockenblut),"Enzymaktivitäten (katalytische Konzentration), die in Trockenblut bestimmt werden — u. a. Biotinidase und Galaktose-Enzyme des deutschen Neugeborenenscreenings sowie die Enzyme lysosomaler Speicherkrankheiten, die international gescreent werden.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-hemoglobin-dbs,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_Hemoglobin_DBS,MII VS Seltene Erkrankungen NBS Hämoglobin-Fraktionen (Trockenblut),"Hämoglobin-Fraktionen in Trockenblut, bezogen auf das Gesamthämoglobin — die Messgrößen des Screenings auf Sichelzellkrankheit und weitere Hämoglobinopathien. Abgeleitet aus der LOINC-SNOMED-Ontologie und deshalb deutlich unvollständig gegenüber LOINC (rund ein Drittel der DBS-Hämoglobin-Codes); für die lückenlose Menge siehe mii-vs-seltene-nbs-dbs-all.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-ratio-dbs,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_Ratio_DBS,MII VS Seltene Erkrankungen NBS Quotienten (Trockenblut),"Diagnostische Quotienten aus Trockenblut-Analyten. Im Neugeborenenscreening tragen die Verhältnisse (z. B. C3/C2, Phe/Tyr) einen großen Teil der diagnostischen Trennschärfe, weil sie von der Probenqualität weniger abhängen als Einzelwerte.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-nbs-target-analyte,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_NBS_TargetAnalyte,MII VS Seltene Erkrankungen NBS Leitanalyten der Zielkrankheiten,"Leitanalyten der Zielkrankheiten des deutschen Neugeborenenscreenings nach G-BA Kinder-Richtlinie § 17 Abs. 1 (20 Zielkrankheiten) und § 23 ff. (Mukoviszidose). Je Zielkrankheit der Analyt, über den sie im Screening erkannt wird.",,"LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-penetrance,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_Penetrance,MII VS SE Penetrance,"Value set for qualitative descriptions of genetic penetrance, drawn from the HPO branch Inheritance qualifier (HP:0034335). Note that the graded terms (high/moderate/low penetrance) are subtypes of incomplete penetrance, not alternatives to complete penetrance.","StructureDefinition/mii-ex-seltene-penetrance","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-symptom-change-status-combined,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_Symptom_ChangeStatus_Combined,MII VS Seltene Erkrankungen Symptom Change Status (Combined),"ValueSet zur Dokumentation von Änderungen bei Symptomen/Phänotypen über Zeit. Kombiniert MVGenomSeq-spezifische Codes mit SNOMED CT-Codes für internationale Interoperabilität.","StructureDefinition/mii-pr-seltene-hpo-assessment","SCT,Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-syndrome-category,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_SyndromeCategory,Syndrome Category Value Set,"Categories for classifying syndrome types in rare diseases",,"SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_TherapieempfehlungStrategie,MII VS SE Therapieempfehlung Strategie,"ValueSet für Strategietypen von Therapieempfehlungen bei seltenen Erkrankungen (Modellvorhaben GenomSeq)",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie-medikamentoes,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_TherapieempfehlungStrategieMedikamentoes,MII VS SE Therapieempfehlung Strategie - Medikamentös,"ValueSet für medikamentöse Therapiestrategien (für MedicationRequest Profile) - Verwendet für MedicationRequest-basierte Therapieempfehlungen im Kontext Modellvorhaben GenomSeq","StructureDefinition/mii-pr-seltene-therapieempfehlung","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-strategie-nicht-medikamentoes,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_TherapieempfehlungStrategieNichtMedikamentoes,MII VS SE Therapieempfehlung Strategie - Nicht-Medikamentös,"ValueSet für nicht-medikamentöse Therapiestrategien (für ServiceRequest Profile) - Verwendet für ServiceRequest-basierte Therapieempfehlungen im Kontext Modellvorhaben GenomSeq","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-therapieempfehlung-typ,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_TherapieempfehlungTyp,MII VS SE Therapieempfehlung Typ,"ValueSet für Therapietypen (kausal/symptomatisch) bei seltenen Erkrankungen (Modellvorhaben GenomSeq)","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes,StructureDefinition/mii-pr-seltene-therapieempfehlung","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-von-se-betroffen,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_VonSEBetroffen,Von SE betroffen Value Set,"ValueSet zur Angabe ob ein Familienmitglied an der gleichen SE erkrankt ist. Verwendet SNOMED CT codes für internationale Interoperabilität.","StructureDefinition/mii-ex-seltene-von-se-betroffen","THO (V2),SCT"
